Heidi Lange|Jul 16, 1961|0|N/A|GER|GER|https://www.fiba.basketball/en/players/100049-heidi-lange
Dagmar Latter|Mar 28, 1964|0|N/A|GER|GER|https://www.fiba.basketball/en/players/100050-dagmar-latter
Katja May|Dec 19, 1968|0|N/A|GER|GER|https://www.fiba.basketball/en/players/100051-katja-may
Antje Mayer|May 9, 1968|0|N/A|GER|GER|https://www.fiba.basketball/en/players/100052-antje-mayer
Ulrike Mertesacker|May 2, 1961|0|N/A|GER|GER|https://www.fiba.basketball/en/players/100053-ulrike-mertesacker
Eva Maria Moritz|May 19, 1956|0|N/A|NAT|GER|https://www.fiba.basketball/en/players/100054-eva-maria-moritz
Dainius Salenga|Apr 15, 1977|198|6'6"|LTU|LTU|https://www.fiba.basketball/en/players/100055-dainius-salenga
Manuela Nau|May 2, 1967|0|N/A|GER|GER|https://www.fiba.basketball/en/players/100056-manuela-nau
Gabriele Neumann|Jul 29, 1963|0|N/A|GER|GER|https://www.fiba.basketball/en/players/100057-gabriele-neumann
Insa Neumann|Sep 5, 1949|0|N/A|GER|GER|https://www.fiba.basketball/en/players/100058-insa-neumann
Annette Nicolai|Sep 1, 1958|0|N/A|GER|GER|https://www.fiba.basketball/en/players/100059-annette-nicolai
Sonja Oldsen|Aug 25, 1964|0|N/A|GER|GER|https://www.fiba.basketball/en/players/100060-sonja-oldsen
Regine Oltrogge|Aug 24, 1963|0|N/A|GER|GER|https://www.fiba.basketball/en/players/100061-regine-oltrogge
Birgit Palzkill|Jul 17, 1952|0|N/A|GER|GER|https://www.fiba.basketball/en/players/100062-birgit-palzkill
Stephanie Pfeiffer|Jan 8, 1966|0|N/A|GER|GER|https://www.fiba.basketball/en/players/100063-stephanie-pfeiffer
Heike Poganaz|Jan 29, 1967|0|N/A|GER|GER|https://www.fiba.basketball/en/players/100064-heike-poganaz
Andrea Reiter|May 26, 1960|0|N/A|GER|GER|https://www.fiba.basketball/en/players/100065-andrea-reiter
Anke Richter|Jan 21, 1968|0|N/A|GER|GER|https://www.fiba.basketball/en/players/100066-anke-richter
Marga Riedelsheimer|Apr 27, 1968|0|N/A|GER|GER|https://www.fiba.basketball/en/players/100067-marga-riedelsheimer
Claudia Rieth|Feb 10, 1970|0|N/A|GER|GER|https://www.fiba.basketball/en/players/100068-claudia-rieth
Tatjana Ring|Nov 4, 1963|0|N/A|GER|GER|https://www.fiba.basketball/en/players/100069-tatjana-ring
Heike Maria Roth|Sep 8, 1968|0|N/A|GER|GER|https://www.fiba.basketball/en/players/100070-heike-maria-roth
Ulrike Rothermund|May 20, 1965|0|N/A|GER|GER|https://www.fiba.basketball/en/players/100071-ulrike-rothermund
Doris Saigge|Feb 23, 1967|0|N/A|GER|GER|https://www.fiba.basketball/en/players/100072-doris-saigge
Maren Schiller|Apr 19, 1967|0|N/A|GER|GER|https://www.fiba.basketball/en/players/100073-maren-schiller
Iris Schilling|Feb 28, 1969|0|N/A|GER|GER|https://www.fiba.basketball/en/players/100074-iris-schilling
Silke Schleichert|Feb 17, 1970|0|N/A|GER|GER|https://www.fiba.basketball/en/players/100075-silke-schleichert
Anastácio Mendes Correia da Cunha|Nov 25, 1976|0|N/A|POR|POR|https://www.fiba.basketball/en/players/100076-anastacio-mendes-correia-da-cunha
Susanne Schmitt|May 22, 1963|0|N/A|GER|GER|https://www.fiba.basketball/en/players/100077-susanne-schmitt
Claudia Schmitz|Apr 14, 1964|0|N/A|GER|GER|https://www.fiba.basketball/en/players/100078-claudia-schmitz
Kerstin Schober|Aug 29, 1956|0|N/A|GER|GER|https://www.fiba.basketball/en/players/100079-kerstin-schober
Anke Schröder|Jan 2, 1957|0|N/A|GER|GER|https://www.fiba.basketball/en/players/100080-anke-schroder
Sabine Schröder|Nov 6, 1964|0|N/A|GER|GER|https://www.fiba.basketball/en/players/100081-sabine-schroder
Doris Schuck|Jan 25, 1958|0|N/A|GER|GER|https://www.fiba.basketball/en/players/100082-doris-schuck
Stefanie Schulze|May 31, 1967|0|N/A|GER|GER|https://www.fiba.basketball/en/players/100083-stefanie-schulze
Boris Talajka|Dec 18, 1980|0|N/A|SVK|SVK|https://www.fiba.basketball/en/players/100084-boris-talajka
Jutta Vogelgesang|Jul 11, 1968|0|N/A|GER|GER|https://www.fiba.basketball/en/players/100085-jutta-vogelgesang
Anne-Kathrin Vogt|Nov 12, 1968|0|N/A|GER|GER|https://www.fiba.basketball/en/players/100086-anne-kathrin-vogt
Stephanie Watrin|Oct 21, 1965|0|N/A|GER|GER|https://www.fiba.basketball/en/players/100087-stephanie-watrin
Sibylle Wiedenmann|May 28, 1966|0|N/A|GER|GER|https://www.fiba.basketball/en/players/100088-sibylle-wiedenmann
Nicola Wiegand|Mar 3, 1963|0|N/A|GER|GER|https://www.fiba.basketball/en/players/100089-nicola-wiegand
Daniela Wirth|Oct 13, 1967|0|N/A|GER|GER|https://www.fiba.basketball/en/players/100090-daniela-wirth
Astrid Zumkeller|Jan 20, 1964|0|N/A|GER|GER|https://www.fiba.basketball/en/players/100091-astrid-zumkeller
Carol Andrew|Jun 2, 1958|0|N/A|ENG|GBR|https://www.fiba.basketball/en/players/100092-carol-andrew
Rytis Streikus|Jul 2, 1979|0|N/A|NAT|LTU|https://www.fiba.basketball/en/players/100093-rytis-streikus
Claire Booker|May 4, 1958|0|N/A|GBR|GBR|https://www.fiba.basketball/en/players/100094-claire-booker
Christine Dearlove|Dec 21, 1955|0|N/A|ENG|GBR|https://www.fiba.basketball/en/players/100096-christine-dearlove
Joe Dickins|Jul 26, 1954|0|N/A|ENG|GBR|https://www.fiba.basketball/en/players/100097-joe-dickins
Anne Gollogly|Mar 4, 1953|0|N/A|GBR|GBR|https://www.fiba.basketball/en/players/100101-anne-gollogly
Marian Millen|Mar 3, 1956|0|N/A|ENG|GBR|https://www.fiba.basketball/en/players/100102-marian-millen
Anne Underwood|Jan 4, 1956|0|N/A|ENG|GBR|https://www.fiba.basketball/en/players/100106-anne-underwood
Eleanor Wardrop|Nov 14, 1953|0|N/A|GBR|GBR|https://www.fiba.basketball/en/players/100107-eleanor-wardrop
Valerie Watson|Dec 5, 1962|0|N/A|ENG|GBR|https://www.fiba.basketball/en/players/100108-valerie-watson
Raphaele Reinicke|Nov 21, 1967|0|N/A|GER|GER|https://www.fiba.basketball/en/players/100109-raphaele-reinicke
Janice Faye Bowman|Nov 20, 1953|0|N/A|AUS|AUS|https://www.fiba.basketball/en/players/100111-janice-faye-bowman
Sandy Brondello|Aug 20, 1968|170|5'7"|AUS|AUS|https://www.fiba.basketball/en/players/100112-sandy-brondello
Andrena Cass|Sep 24, 1968|0|N/A|AUS|AUS|https://www.fiba.basketball/en/players/100113-andrena-cass
Jenny Cheesman|Nov 2, 1957|0|N/A|AUS|AUS|https://www.fiba.basketball/en/players/100114-jenny-cheesman
Patricia Cockrem|May 17, 1961|0|N/A|AUS|AUS|https://www.fiba.basketball/en/players/100115-patricia-cockrem
Debbie Clarke|Sep 18, 1957|0|N/A|AUS|AUS|https://www.fiba.basketball/en/players/100117-debbie-clarke
Dianne Ellen (Wilson) Cook|Dec 30, 1951|0|N/A|AUS|AUS|https://www.fiba.basketball/en/players/100118-dianne-ellen-wilson-cook
